"","best","choice","alt","caseid","newcase","lirule1","lirule2","lirule3","lirule4","lirule5","lirule6","lirule7","lirule8","lirule9","lirule10","larule1","larule2","larule3","larule4","larule5","larule6","larule7","larule8","larule9","larule10","hhld0to1","hhld2to5","hhld6to12","hhld13to17","hhld18to64","hhld65up","ffltc","transityes","transitsome","pastcounty0to2","pastcounty3to5","pastcounty6to10","pastcounty10up","futrcounty0to2","futrcounty3to5","futrcounty6to10","futrcounty10up","futrcountyuncer","comheart","comdiab","comresp","comcanc","comage","compreg","comcovid","comother","ffcomheart","ffcomdiab","ffcomresp","ffcomcanc","ffcomage","ffcompreg","ffcomcovid","ffcomother","rnought0to1","rnought1to2","rnought2to3","rnought3to5","rnought5to7","rnought7to10","rnought010up","vulnchild","vulnteens","vulnseniors","vulnwomen","vulnmen","vulnnonwhite","vulnnoneng","vulnlowinc","vulnrural","vulnnosci","vulnessent","idrule1","idrule2","idrule3","idrule4","idrule5","idrule6","idrule7","idrule8","idrule9","idrule10","stayhome","hhldinc","owninc","pctincloss","prepover","prepreas","preppoor","rulesbad","rulesgood","rulesinsuff","w_exactnum","w_petstores","w_daycare","w_nopopup","w_uneven","w_samecost","threealts","chset1","chset2","chset3","chset4","chset5","chset6","chset7","chset8","noPolicy","tch","cch","cert","cases","deaths","reject","fedui","months","delcases","deldeaths","rule1","rule2","rule3","rule4","rule5","rule6","rule7","rule8","rule9","rule10","unempl","avcost","choiceofperson","choiceorder","choiceorder2","statusquo","any","statquo"
"11",1,1342,2,2,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,1,1,1,1,1,1,1,1,1,0,0,8,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,"",.,4,2,311,8,0,300,1,193,8,0,3,0,0,0,0,3,0,0,0,.,.,6,5,25,FALSE,1,0
"12",0,1342,3,2,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,1,1,1,1,1,1,1,1,1,0,0,8,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,"",.,4,2,311,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,6,5,25,TRUE,0,1
"13",1,1343,1,2,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,1,1,1,1,1,1,1,1,1,0,0,8,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"",.,4,2,311,8,0,300,1,167,6,2,0,3,3,1,2,0,3,3,1,.,.,7,6,36,FALSE,1,0
"14",0,1343,3,2,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,.,1,1,1,1,1,1,1,1,1,0,0,8,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,"",.,4,2,311,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,7,6,36,TRUE,0,1
"15",1,625,1,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"",26.087,14,1,162781,3736,0,300,2,113704,2222,2,0,2,3,1,2,0,2,3,1,14.8,240,1,1,1,FALSE,1,0
"16",0,625,3,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"",26.087,14,1,162781,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,1,1,1,TRUE,0,1
"17",1,626,2,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"",.,6,1,162781,3736,0,300,2,40796,1717,1,2,0,0,2,1,2,0,0,2,8.6,105,2,2,4,FALSE,1,0
"18",0,626,3,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"",.,6,1,162781,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,2,2,4,TRUE,0,1
"19",0,627,1,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"",.,10,1,54126,727,0,0,1,7675,141,2,0,2,3,1,2,0,2,3,1,5.6,60,3,3,9,FALSE,1,0
"20",0,627,2,3,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,.,2,2,2,2,3,3,3,3,2,0,64.251,20,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"",.,10,1,54126,727,0,0,1,38373,707,1,2,0,0,2,1,2,0,0,2,18.8,525,3,3,9,FALSE,1,0
